PID,DID,Conference,IsTopTier,Paper,Code Form,Domain,Analysis,Analysis Artifact,Artifact class,Transformation,Artifact form,Canonicalization,Canonicalization_Method,Split basis,Token Unit,Tokenization_Technique,Encoding,Encoding_NAs,Encoding examples,Embedding_Method,Embedding examples,Learning_Category,Learning_Subcategory,Learning_Trainable,for claude,Learning_Model,Learning_Model(Old),Inference_Category,Inference_Subcategory,Inference_Output,Evaluation_Metric
P037,D24,ISSTA,FALSE,CLAP: Learning Transferable Binary Code Representations with Natural Language Supervision,Assembly,Code representation learning,Static > Disassembly,Assembly instruction sequences,Code representations; Binary facts,Code representations; Binary facts -> Sequence,Sequence,Assembly instruction element replacement,Assembly instruction element replacement,data-driven,Subword (WordPiece),Subword (WordPiece),,Sparse,Token + position + instruction embeddings summed (E_token + E_position + E_INSTR; jump-symbol token and target instruction-embedding share parameters),Context-dependent,CLAP-ASM (RoBERTa + instruction + jump-aware embeddings),Discriminative,Detection,Yes,,RoBERTa-style Transformer,CLAP-ASM (RoBERTa) + frozen text encoder; InfoNCE contrastive,Detection,Similarity scoring,Cross-modal binary-text embedding,Recall@1; MRR
P038,D21,NeurIPS,TRUE,Source Code Foundation Models are Transferable Binary Analysis Knowledge Bases,"Assembly, Decompiled code",Code similarity detection,Static Analysis > Disassembly | Static Analysis > Program-dependence analysis | Static Analysis > Decompilation,Assembly | PDG | Pseudocode,Code representations | Graph representations | Code representations,Code representations  -> Sequence | Graph representations -> Graph | Code representations -> Sequence,Sequence | Graph | Sequence,N/A | N/A | N/A,Assembly instruction element replacement | Graph edge editing | N/A,Syntactic units | N/A | Data-driven segmentation,Instruction | N/A | Subword (Pretrained-LLM),Delimiter/symbol-based (inherited from CodeArt: opcode/operand separation with <INST>) | N/A | Black-box LLM tokenizer (GPT-3.5 / Claude-3 / Gemini-Pro),Sparse | Dense | Sparse,N/A | N/A,N/A | adjacency matrix | N/A,Context-dependent | Context-dependent | Context-dependent,BERT-based | BERT-based  | Transformer-based,Generative | LLM-based,Generative | LLM-based prompting,Yes,BERT-based  || BERT-based  | Transformer-based,(BERT-based  || BERT-based  ) +  LLM prompting,ProRec (CodeArt encoder + MLP + frozen CodeLlama-34b),Detection,Ranking / Top-K retrieval,Recovered source/binary mapping,CHRF; GPT4-based functionality score; GPT4-based context relevance score; token-level precision; token-level recall; token-level F1; character-level BLEU; character-level ROUGE-L; character-level METEOR
P039,D05,ICSE-SEIP,FALSE,CFG2VEC: Hierarchical Graph Neural Network for Cross-Architectural Software Reverse Engineering,Pcode IR,Code similarity detection,Static > Control flow analysis | Static > Inter-procedural control flow analysis,Numeric feature vectors per basic block | Function Call Graph,Code representations; Graph representations; Graph representations,Code representations; Graph representations; Graph representations -> Graph,Graph,N/A | Analysis-artifact filtering,N/A | Analysis-artifact filtering,N/A,N/A,N/A,,Dense,dense,Context-dependent,Hierarchical GNN (GCN+GAT),Discriminative,Detection,Yes,,cfg2vec / Siamese GCN + GAT,cfg2vec: Hierarchical GNN (3 GCN + 1 GAT in BOTH CFG and GoG embedding layers); sum-readout per CFG; Siamese with cosine similarity; loss J (margin m=0.5) trained with Adam,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Precision@K; Precision@1
P040,D06,CCS,TRUE,Learning to Explore Paths for Symbolic Execution,LLVM IR,Symbolic path discovery,Security Testing > Symbolic execution,symbolic state,Binary facts,Binary facts -> Numeric descriptor,Numeric descriptor,N/A,N/A | N/A,N/A,N/A,N/A | N/A,Dense,Dense,N/A,N/A,N/A,Discriminative,Classification,Yes,N/A,MLP regressor,"Learch: ensemble of 4 feedforward neural networks (3 linear layers, 64 hidden units, ReLU; regression of reward); trained iteratively via Algorithm 4 (4 iterations); at inference, 4 strategies run in parallel time slots and tests are unioned",Discovery,Path / branch exploration,Path priority regression score,line coverage/ELOC
P041,D07,S&P,TRUE,OSPREY: Recovery of Variable and Data Structure via Probabilistic Analysis for Stripped Binary,Assembly,Data structure/struct layout recovery,Static > Disassembly; Static > Control-flow analysis; Static > Data-flow analysis; Static > Pointer/alias analysis; Static > Stack-frame analysis,"Assembly; CFG; DFG, def-use chains; points-to relations; Stack-frame layout",Code representations; Graph representations;  Graph representations; Graph representations; Binary Facts; Binary Facts,Code representations; Graph representations;  Graph representations; Graph representations; Binary Facts; Binary Facts-> Graph,Graph,Structural transformation,N/A,N/A,N/A,N/A,Dense,N/A,Edge feature mapping,N/A,N/A,Rule-based reasoning,Probabilistic reasoning,No,N/A,Factor graph +  belief propagation,CRF over type variables + BAP data-flow analysis,Recovery,Probabilistic structural recovery,Posterior over variable type / struct field,Precision; Recall; F1; tree difference
P042,D07,CCS,TRUE,ReSym: Harnessing LLMs to Recover Variable and Data Structure Symbols from Stripped Binaries,Decompiled code,Data structure/struct layout recovery,Static > Decompilation; Static > Stack-frame analysis | Static > Decompilation; Static > Stack-frame analysis | Static > Data-flow analysis; Static > Pointer/alias analysis; Static > Call-site analysis,"Pseudocode; Stack-frame layout | Pseudocode; Stack-frame layout (variable slots, offsets) | DFG, def-use chains; points-to relations; CG",Code representations; Binary facts | Code representations; Binary facts | Graph representations; Graph representations; Binary fact; Graph representations,Code representations; Binary facts -> Sequence | Code representations; Binary facts -> Sequence | Graph representations; Graph representations; Binary fact; Graph representations -> Graph,Sequence | Sequence | Graph,Abstraction by replacement | Abstraction by replacement | Structural transformation,Decompiled identifier replacement,Data-driven segmentation | Data-driven segmentation | N/A,Subword (Pretrained-LLM) | Subword (Pretrained-LLM) | N/A,Built-in llm tokenizer,Sparse | Sparse | Dense,N/A,N/A | N/A | N/A,Context-dependent | Context-dependent | N/A,Transformer-based | Transformer-based | N/A,LLM-based,LLM-based finetuning,Yes,Transformer-based || Transformer-based,(Transformer-based || Transformer-based)  -> Deterministic reasoning,Two fine-tuned LLMs (VarDecoder + FieldDecoder) + Prolog constraint solver,Recovery,Probabilistic structural recovery,Recovered variable/struct fact,Precision; Recall; F1
P043,D07,S&P,TRUE,TypeForge: Synthesizing and Selecting Best-Fit Composite Data Types for Stripped Binaries,Decompiled code,Data structure/struct layout recovery,Static > Decompilation; Static > IR lifting; Static > Data-flow analysis; Static > Call-site analysis; Static > Stack-frame analysis | Static > Decompilation,"Pseudocode; IR; DFG, def-use chains; CG; Stack-frame layout (variable slots, offsets) | Pseudocode",Code representations; Code representations; Graph representations; Graph representations;  Graph representations; Binary Facts| Code representations,Code representations; Code representations; Graph representations; Graph representations;  Graph representations; Binary Facts -> Graph | Code representations -> Sequence,Graph | Sequence,Structural transformation; node attribute mapping; edge attribute mapping | N/A,N/A,N/A | Data-driven segmentation,N/A | Subword (Pretrained-LLM),Built-in llm tokenizer,Dense | Sparse,N/A,N/A | N/A,N/A | Context-dependent,N/A | N/A,Rule-based reasoning | LLM-based,Deterministic reasoning | LLM-based prompting,No | No,N/A | N/A,TFG-based deterministic type synthesis -> GPT-4o mini LLM-assisted double-elimination selector,TFG + fixpoint constraint propagation; GPT-4o mini,Recovery,Probabilistic structural recovery,Recovered variable/struct fact,Precision; Recall; F1
P044,D08,FSE,TRUE,StateFormer: Fine-Grained Type Recovery from Binaries using Generative State Modeling,"Assembly, Fetched instruction",Variable type recovery,Static > Disassembly; Dynamic > Forced execution | Static > Disassembly,"Assembly; Memory-access trace, runtime-value trace, instruction address | Assembly",Code representations; Text streams; Text streams; Binary facts | Code representations,Code representations; Text streams; Text streams; Binary facts -> Sequence | Code representations -> Sequence,Sequence | Sequence,Abstraction by replacement | Abstraction by replacement,N/A,Syntactic units | Syntactic units,element | element,Opcode/operand/punctuation tokenization; numeric constants normalized to hex,Sparse | Sparse,N/A,N/A | N/A,Context-dependent | Context-dependent,Transformer-based | Transformer-based,Discriminative,Classification,Yes,Transformer-based  -> Transformer-based,(Transformer-based  -> Transformer-based) -> MLP classifier,Transformer decoder (GSM pretrain); Pretrained Transformer encoder + linear head,Recovery,Type / symbol recovery (classification),Predicted variable type label,Accuracy; Precision; Recall; F1 score
P045,D08,DIMVA,FALSE,TypeMiner: Recovering Types in Binary Programs using Machine Learning,Assembly,Variable type recovery,Static > Data dependence analysis; Static > Disassembly,Data Object Graph (DOG) with instruction traces,Code representations; Graph representations,Code representation; Graph representation -> Numeric descriptor,Numeric descriptor,,,N/A,N/A,Instruction-field-level (mnemonic + per-operand type+width tags per Sec 5.1 normalization),,Sparse,"Binary {0,1}^|F| indicator vector over F = 1-grams ∪ 2-grams of normalized instructions (Sec 5.2)",Context-independent,N/A,Discriminative,Classification,Yes,,SVM + Random Forest,SVM (RBF) + Random Forest on n-gram feature vectors,Recovery,Type / symbol recovery (classification),Predicted variable type label,Precision; Recall; F1-score
P046,D08,IEEE Transactions on Reliability,FALSE,Type Learning for Binaries and Its Applications,Assembly,Variable type recovery,Static > Disassembly; Static > Data dependence analysis,Use-site instruction feature vectors,Code representations; Graph representations; Numerical statistics,Code representations; Graph representations; Numerical statistics -> Numeric descriptor,Numeric descriptor,,,N/A,N/A,N/A,,Sparse,"TF-IDF-weighted instruction frequency vector with top-N representative instructions selected by TF-IDF; F_i(x_i,l) = x_i × idf^l_{t_i} (Sec III-B-3)",Context-independent,N/A,Discriminative,Classification,Yes,,Linear SVM + Random Forest,SVM (linear) + Random Forest on TF-IDF feature vectors,Recovery,Type / symbol recovery (classification),Predicted variable type label,Precision; Recall; F1-measure; proper accuracy rating; average distance
P047,D08,DSN,FALSE,CATI: Context-Assisted Type Inference from Stripped Binaries,Assembly,Variable type recovery,Static > Disassembly,Variable Usage Context (VUC) 21-instruction windows,Code representations; Graph representations,Code representations; Graph representations -> Sequence,Sequence,,,granularity-based,Instruction-field-level,Instruction-field-level (mnemonic + 2 operand tokens per instruction; BLANK padding for <2 operands; Sec IV-C),,Dense,"Per-token Word2Vec dim-32 embeddings concatenated: each of 21 VUC instructions -> 3 tokens (mnemonic + 2 operands) -> [21, 96] matrix (CNN image input; Sec IV-C)",Context-independent,Word2Vec skip-gram (dim=32),Discriminative,Classification,Yes,,CNN tree classifier,Multi-stage 2-layer CNN tree classifier + majority voting,Recovery,Type / symbol recovery (classification),Predicted variable type label,Precision; Recall; F1-score; Accuracy
P048,D08,USENIX Security,TRUE,TYGR: Type Inference on Stripped Binaries using Graph Neural Networks,VEX IR,Variable type recovery,Static > IR lifting; Static > Control-flow analysis; Static > Data-flow analysis,"IR; CFG; DFG, def-use chains",Code representations; Graph representations; Graph representations; Graph representations,Code representations; Graph representations; Graph representations; Graph representations -> Graph,Graph,Structural transformation,N/A,N/A,N/A,N/A,Dense,Sparse,Node feature mapping; Edge feature mapping,Context-dependent,RGCN,Discriminative,Classification,Yes,RGCN,R-GCN + MLP classifier,Two-model RGCN pipeline (primitive types + struct fields),Recovery,Type / symbol recovery (classification),Predicted variable type label,Overall accuracy; struct accuracy; Precision; Recall; F1 score
P049,D08,USENIX Security,TRUE,TRex: Practical Type Reconstruction for Binary Code,Custom IR,Variable type recovery,Static > IR lifting; Static > Data-flow analysis,"IR; DFG, def-use chains, memory-access facts",Code representations; Graph representations; Graph representation; Binary facts,Code representations; Graph representations; Graph representation; Binary facts-> Graph,Graph,Structural transformation,N/A,N/A,N/A,N/A,Dense,N/A,N/A,N/A,N/A,Rule-based reasoning,Deterministic reasoning,No,N/A,Deductive type reconstruction (deductive constraint generation/solving + type rounding + nominal-type reconstruction),Multi-phase constraint-based type reconstruction (TRex Rust),Recovery,Probabilistic structural recovery,Predicted variable type label,Precision; Recall; F1; mean score
P050,D09,USENIX Security,TRUE,Neural Nets Can Learn Function Type Signatures From Binaries,Assembly,Function signature recovery,Static > Disassembly; Static > Call-site analysis | Static > Disassembly,Assembly; CG | Assembly,Code representations; Graph representations | Code representations,Code representations; Graph representations -> Sequence | Code representations -> Sequence,Sequence | Sequence,N/A | N/A,N/A,Syntactic units | Syntactic units,Instruction | Instruction,"Instruction-level (each instruction as one hex token, e.g., push %ebp -> 0x55; Sec 3.1)",Sparse | Sparse,Sparse,N/A | N/A,Context-independent | Context-dependent,Word2Vec | GRU,Discriminative,Classification,Yes,Word2Vec -> GRU,(Word2Vec -> GRU) | MLP classifeir,3-layer bidirectional GRU RNN (EKLAVYA),Recovery,Type / symbol recovery (classification),Per-argument count and type label,Precision; Recall; Accuracy; F1 score
P051,D09,CCS,TRUE,Recover Function Signature from Combined Constraints,Decompiled code,Function signature recovery,Static > Decompilation; Static > Data-flow analysis; Static > Call-site analysis,"Pseudocode; DFG, def-use chains; CG",Code representations; Graph representations; Graph representations; Graph representations,Code representations; Graph representations; Graph representations; Graph representations -> Graph,Graph,Structural transformation,N/A,N/A,N/A,N/A,Dense,N/A,Edge feature mapping,N/A,N/A,Rule-based reasoning,Probabilistic reasoning,No,N/A,factor graph probabilistic graphical model + belief propagation,Factor graph with Loopy Belief Propagation (CDA),Recovery,Probabilistic structural recovery,Argument-count / type posterior,Precision; Recall; Accuracy; F1 score
P052,D24,ASE,FALSE,Hext5: Unified pre-training for stripped binary code information inference,Decompiled code,Code representation learning,Static > Decompilation,Decompiled pseudocode,Code representations,Code representation -> Sequence,Sequence,,,data-driven,Byte pair encoding (Subword (BPE)),Byte pair encoding (Subword (BPE)),,Dense,Subword (BPE) subword token IDs -> CodeT5-base learned token embedding lookup (inherited from CodeT5-base initialization; 32K Subword (BPE) subwords + 150 special tokens per Sec V-A),Context-dependent,CodeT5-base encoder-decoder,Generative,Generative,Yes,,HexT5 / encoder-decoder Transformer,HexT5 (CodeT5-base with MSP+SIP+BSG+CL pretraining),Recovery,Symbol-name / pseudocode generation,Token sequence for downstream task heads,BLEU-4; Rouge-L; METEOR; Accuracy; character error rate (CER); Precision; Recall; F1-score; Recall@K; MRR@K
P053,D10,ACSAC,FALSE,Probabilistic Naming of Functions in Stripped Binaries,"Byte, Assembly, VEX IR",Function symbol name recovery,Static > IR lifting; Static > Control flow analysis | Hybrid > Symbolic execution | Static > Control flow analysis | Static > Inter-procedural control flow analysis,VEX IR static features | Symbolic execution features | ICFG | Call graph,Code representations | Numerical statistics | Graph representations | Graph representations,Code representations -> Numeric descriptor | Numerical statistics -> Numeric descriptor | Graph representations -> Graph | Graph representations -> Graph,numeric descriptor | numeric descriptor | graph | graph,Numeric descriptor > Feature value scaling | Graph > Node label mapping,Numeric descriptor > Feature value scaling | Graph > Node label mapping,N/A | N/A,N/A | N/A,N/A | N/A,,Dense | Sparse,PCA-reduced stacked feature vector | one-hot caller/callee vectors + Symbol2Vec embedding lookup,Context-independent | Context-independent,Graph2Vec (for Basic Block ICFG feature) | Symbol2Vec,Discriminative | Discriminative,Classification | Probabilistic reasoning,Yes | Yes,,Gaussian NB + CRF,Gaussian NB + Graph2Vec + Symbol2Vec; CRF with Loopy BP,Recovery,Probabilistic structural recovery,Predicted function symbol name posterior,Precision; Recall; F1
P054,D10,NDSS,TRUE,Beyond Classification: Inferring Function Names in Stripped Binaries via Domain Adapted LLMs,Decompiled code,Function symbol name recovery,Static > Decompilation,pseudocode,Code representations,Code representations -> Sequence,Sequence,Abstraction by replacement  ,N/A,Data-driven segmentation,Subword (Pretrained-LLM),Byte pair encoding (Subword (BPE)),Sparse,N/A,N/A,Context-dependent,Transformer-based,LLM-based,LLM-based finetuning,Yes,Transformer-based,Code Llama (with Lora),SYMGEN (Code Llama 34B + LoRA),Recovery,Symbol-name / pseudocode generation,Generated function name (subword sequence),Precision; Recall; F1 score
P055,D10,OOPSLA,FALSE,Neural Reverse Engineering of Stripped Binaries using Augmented Control Flow Graphs,Assembly,Function symbol name recovery,Static > Intra-procedural CFG construction + simple-path enumeration from Entry/Sink artificial nodes; Static > Call-site reconstruction via ABI/calling-convention argument resolution; Static > Pointer-aware (Weiser-style) intra-procedural static program slicing for argument-value classification,Augmented Call Sites Graph (ACSG),Graph representations,Graph representation -> Graph,Graph,,,N/A |,N/A |,N/A |,,Dense,"encode_callsite(w_1..w_k, value_1..value_kargs) = [(Σ_i E^names_{w_i}) ; E^values_{value_1} ; ... ; E^values_{value_kargs}] with no-arg padding (Sec 5.1); learned embeddings E^names (API subtokens) + E^values (abstract values ARG/STK/RET/GLOBAL + frequent concrete values)",Context-dependent,Nero (BiLSTM or Transformer or GCN encoder + LSTM decoder),Generative,Generative,Yes,,LSTM; Transformer; GNN + LSTM decoder,Nero-LSTM / Nero-Transformer / Nero-GNN + LSTM decoder,Recovery,Symbol-name / pseudocode generation,Generated function name (subword sequence),Precision; Recall; F1 score
P056,D10,ISSTA,FALSE,A lightweight framework for function name reassignment based on large-scale stripped binaries,Assembly,Function symbol name recovery,Static > Disassembly | Static > Control flow analysis,Assembly instruction sequences | Instruction-Level CFG (IL-CFG),Code representations | Graph representations,Code representation -> Sequence | Graph representation -> Graph,Sequence | Graph,,,granularity-based,Instruction-level,Instruction-level,,Dense | Dense,DeepWalk Skip-gram embedding of instructions over IL-CFG random-walk sequences (Sec 3.2.3) | Per-node DeepWalk embedding lookup from IL-CFG random walks (Sec 3.2.3),Context-independent -> Context-dependent | Context-independent,DeepWalk pretrained embeddings -> 2-layer BiLSTM encoder (500 hidden) | DeepWalk on IL-CFG,Generative,Generative,Yes,,BiLSTM encoder + LSTM decoder + GBDT,NFRE (BiLSTM encoder + attentional LSTM decoder + DeepWalk + GBDT filter),Recovery,Symbol-name / pseudocode generation,Generated function name (subword sequence),Precision; Recall; F1 score
P057,D10,CCS,TRUE,SymLM: Predicting Function Names in Stripped Binaries via ContextSensitive Execution-Aware Code Embeddings,"Fetched instruction, Assembly",Function symbol name recovery,Dynamic > Forced execution | Static > control-flow analysis; Static > call-site analysis,instruction trace; runtime-value trace | ICFG,Text streams; Text streams | Graph representations,Text streams; Text streams -> Sequence | Graph representation -> Numeric descriptor,Sequence | Numeric descriptor,Abstraction by replacement   | N/A,N/A,Syntactic units | N/A,Instruction | N/A,Output label: camelCase + snake_case splitting + unigram LM word segmentation from CodeSearchNet 1.5M function-name corpus (Sec 4.2) | N/A (calling-context aggregation only),Sparse | Dense,N/A | N/A,N/A | N/A,Context-dependent | Context-independent,Transformer-based | lookup layer,Discriminative,Classification,Yes,Transformer-based || lookup layer,(Transformer-based; Trex || lookup layer) + MLP decoder,SymLM (TREX encoder + calling context embedding + 2-layer MLP decoder),Recovery,Symbol-name / pseudocode generation,Generated function name (subword sequence),Precision; Recall; F1 score
P058,D10,AsiaCCS,FALSE,A Transformer-based Function Symbol Name Inference Model from an Assembly Language for Binary Reversing,Assembly,Function symbol name recovery,Static > Disassembly,Raw x86-64 assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,,,data-driven,Byte pair encoding (Subword (BPE)),Byte pair encoding (Subword (BPE)),,Dense,"Subword (BPE) subword token IDs -> learned token embedding lookup (~40M params for DS_A, ~32M for DS_N; Sec 5 Table 2) + per-layer absolute positional embedding added at every encoder layer (Sec 4.3 + Fig 4)",Context-dependent,AsmDepictor Transformer (per-layer positional embedding + Unique-softmax),Generative,Generative,Yes,,AsmDepictor / encoder-decoder Transformer,AsmDepictor Transformer (3 encoder/decoder layers 40M params),Recovery,Symbol-name / pseudocode generation,Generated function name token sequence,Precision; Recall; F1; ROUGE-L; Jaccard*
P059,D10,S&P,TRUE,XFL: Naming Functions in Binaries with Extreme Multi-label Learning,"Assembly, VEX IR",Function symbol name recovery,Static > Control-flow analysis | Static > call-site analysis | Triage > Structrual analysis; Static > Disassembly; Static > IR lifting; Static > static taint analysis,ICFG | CG | assembly; IR; imports; constants; tainted values,Graph representations | Graph representations | Code representations; Code representations; Binary facts; Binary facts; Binary facts,Graph representations -> Numeric descriptor | Graph representations -> Numeric descriptor | Code representations; Code representations; Binary facts; Binary facts; Binary facts -> Numeric descriptor,Numeric descriptor | Numeric descriptor | Numeric descriptor ,N/A | N/A | feature value scaling,N/A,N/A | N/A | N/A,N/A | N/A | N/A,N/A,Dense | Dense | Dense,Dense,N/A | N/A | N/A,Context-independent | Context-independent | Context-independent,LDP | BoostNE | Autoencoder,Discriminative,Classification,Yes,(LDP || BoostNE ) -> Autoencoder,((LDP || BoostNE ) -> Autoencoder ) + MLP classifier,XFL (DEXTER autoencoder + PfastreXML + trigram LM),Classification,Multi-label classification,Multi-hot function name label vector,Precision; Recall; F1; AUC
P062,D10,USENIX Security,TRUE,BLens: Contrastive Captioning of Binary Functions using Ensemble Embedding,Assembly,Function symbol name recovery,[Pamtree] Static > Disassembly; Static > Control-dependence analysis; Static > Data-dependence analysis | [CLAP] Static > Disassembly | [DEXTER] Static > Control-flow analysis; Static > call-site analysis; Triage > Structrual analysis; Static > Disassembly; Static > IR lifting; Static > static taint analysis,assembly | assembly | ICFG; assembly; IR; imports; constants; tainted values,Code representations | Code representations | Graph representation; Code representations; Code representations; Binary facts; Binary facts; Binary facts,Code representations -> Sequence | Code representations  -> Sequence  | Graph representation; Code representations; Code representations; Binary facts; Binary facts; Binary facts -> Numeric descriptor,Sequence | Sequence | Numeric descriptor,Abstraction by replacement  | Abstraction by replacement  | feature value scaling,N/A,Data-driven segmentation | Data-driven segmentation | N/A,Subword (BPE) | Subword (BPE)  | N/A,Instruction-level (inherited from PalmTree BERT tokenizer + CLAP tokenizer; Sec 4.1) | N/A (DEXTER produces statistical feature vector directly),Sparse | Sparse | Dense,Sparse | Dense,N/A | N/A | N/A,Context-dependent | Context-dependent | Context-independent,BERT-based (PalmTree) | BERT-based (CLAP) | (LDP || BoostNE ) -> Autoencoder ),Generative,Generative,Yes,BERT-based || BERT-based || ((LDP || BoostNE ) -> Autoencoder ),(PalmTree || CLAP || (LDP || BoostNE ) -> Autoencoder))  +  LORD Transformer decoder,BLens (COMBO pretraining + LORD fine-tuning; 153M params),Recovery,Symbol-name / pseudocode generation,Generated function name caption,Precision; Recall; F1; RougeL; Bleu; VarCLR
P063,D11,CCS,TRUE,Debin: Predicting Debug Information in Stripped Binaries,"Assembly, BAP-IR",Variable symbol name recovery,Static > IR lifting; Static > Data-flow analysis; Static > Data-dependence analysis; Static > Call-site analysis; Static > Stack-frame analysis; Triage > Binary profiling | Static > Data-dependence analysis,IR; def-use chains; PDG; CG; Stack-frame layout; strings; constants | PDG,Code representations; Graph representations; Graph representations;  Graph representations;  Binary facts; String literals; Binary facts  | Graph representations,Code representations; Graph representations; Graph representations;  Graph representations;  Binary facts; String literals; Binary facts -> Numeric descriptor | Graph representations -> Graph,Numeric descriptor | Graph,"N/A | node attribute mapping, edge attribute mapping",N/A | N|A,N/A | N|A,N/A | N|A,N/A | N/A,Sparse | Sparse,Sparse | N/A,"One-hot | Node attribute IDs, Edge attribute IDs",N/A | N/A ,N/A | N/A,Discriminative,Classification,Yes,N/A | N/A,Extremely Randomized Trees -> CRF + MAP,Debin (Extremely Randomized Trees + CRF over undirected factor graph),Recovery,Probabilistic structural recovery,Variable name posterior,Accuracy; Precision; Recall; F1 score
P064,D11,ICPC,FALSE,Meaningful Variable Names for Decompiled Code: A Machine Translation Approach,Decompiled code,Variable symbol name recovery,Static > Decompilation,Decompiled source code,Code representations,Code representation -> Sequence,Sequence,,,rule-based,Whitespace-based,Whitespace-based,,Sparse,"N/A (Moses phrase-based SMT uses n-gram language model P(e) + phrase translation table P(f|e) probabilities, NOT learned embeddings; Sec 2.1 Bayes-rule MAP: argmax_e P(e)·P(f|e))",N/A,N/A,Generative,Generative,Yes,,Phrase-based SMT,Moses phrase-based SMT (n-gram LM + phrase translation model),Recovery,Symbol-name / pseudocode generation,Statistical-MT generated variable name,Exact match rate; combined exact+approximate match rate
P065,D11,ASE,FALSE,DIRE: A Neural Approach to Decompiled Identifier Naming,Decompiled code,Variable symbol name recovery,Static > Decompilation | Static > Decompilation,Decompiled source code | AST of decompiled function,Code representations | Graph representations,Code representation -> Sequence | Graph representation -> Graph,Sequence | Graph,,,data-driven,Unigram language model,Unigram language model,,Dense,"SentencePiece subword token IDs -> learned token embeddings dim 128 -> BiLSTM (hidden 128, bidirectional) for x_i = [→h_i; ←h_i] (Sec III-B1) | 3 component embeddings (syntactic type, data type subtoken mean, name subtoken mean) -> linear projection of concat for initial node state h_v,0 (Sec III-B2a)",Context-dependent,BiLSTM; GGNN (8 message-passing steps 5 edge types),Generative,Generative,Yes,,DIRE / BiLSTM + GGNN + LSTM decoder,DIRE (BiLSTM lexical encoder + GGNN structural encoder + LSTM decoder),Recovery,Symbol-name / pseudocode generation,Generated identifier name sequence,Accuracy; character error rate (CER); edit distance
P066,D11,USENIX Security,TRUE,Augmenting Decompiler Output with Learned Variable Names and Types,Decompiled code,Variable symbol name recovery,Static > Decompilation | Static > Stack-frame analysis,Pseudocode | Stack-frame layout,Code representations | Binary facts,Code representations -> Sequence | Binary facts -> Sequence,Sequence | Sequence,Abstraction by replacement  | Abstraction by replacement ,N/A,Data-driven segmentation | Rule-based decomposition,Subword (BPE) | Custom rule,Byte pair encoding (Subword (BPE)) | Delimiter/symbol-based,Sparse | Sparse,N/A,N/A | N/A ,Context-dependent | Context-dependent,Transformer-based | Transformer-based,Generative,Generative,Yes,Transformer-based || Transformer-based,(Transformer-based || Transformer-based) + Transformer-based,DIRTY (Transformer Code Encoder + Data Layout Encoder + autoregressive Type/Name Decoder),Recovery,Symbol-name / pseudocode generation,Variable name + variable type,Name Match; Type Match; prediction accuracy
P067,D11,S&P,TRUE,"“Len or index or count, anything but v1”: Predicting Variable Names in Decompilation Output with Transfer Learning",Decompiled code,Variable symbol name recovery,Static > Decompilation,Pseudocode,Code representations,Code representation -> Sequence,Sequence,Abstraction by replacement ,N/A,Data-driven segmentation,Subword (BPE),Byte pair encoding (Subword (BPE)),Sparse,N/A,N/A,Context-dependent,BERT-based,Discriminative,Classification,Yes,BERT-based,BERT-based + MLP classifier,VARBERT (6-layer BERT with CMLM pretraining + fine-tuning),Recovery,Symbol-name / pseudocode generation,Predicted variable name; predicted variable type,Top-1 accuracy; Top-3 accuracy; Top-5 accuracy; average edit distance (AED); character error rate (CER); Accuracy; F1
P068,D11,NDSS,TRUE,Unleashing the Power of Generative Model in Recovering Variable Names from Stripped Binary,Decompiled code,Variable symbol name recovery,Static > Decompilation; Static > call-site analysis,Pseudocode; CG,Code representation; Graph representation,Code representation; Graph representation -> Sequence,Sequence,Abstraction by replacement ,Decompiled identifier replacement | N/A,Data-driven segmentation,Subword (Pretrained-LLM),Inherited LLM tokenizer (CodeGemma/CodeLlama Subword (BPE)) | Inherited LLM tokenizer (CodeGemma/CodeLlama Subword (BPE)),Sparse,N/A,N/A,Context-dependent,Transformer-based,LLM-based,LLM-based finetuning,Yes,Transformer-based,CLM fine-tuning (CodeGemma/CodeLlama ) + SymPO + post-processing (iterative call-graph context propagation + data-flow name validation),GENNM (CodeGemma-2B/CodeLlama fine-tuned with CLM + SymPO),Recovery,Symbol-name / pseudocode generation,Generated variable name sequence,Precision; Recall; GPT4Evaluator score
